"STUID","Y1E_ST1_1","Y1E_ST21_1","Y1E_ST21_2","Y1E_ST21_3","Y1E_ST25_1","Y1E_ST25_2","Y1E_ST25_3","Y1E_ST25_4","Y1E_ST25_5","Y1E_ENG_VS","Y1E_KOR_VS","Y1E_MATH_VS","Y1E_ST21_1R","Y1E_ST21_2R","Y1E_ST21_3R","성장신념","수업태도","학업성취도"
10187,2,1,2,3,3,2,3,2,3,346.22,353.91,466.85,5,4,3,4.33333333333333,2.6,388.993333333333
10188,2,1,1,1,5,5,4,4,4,421.08,433.3,565.33,5,5,5,5,4.4,473.236666666667
10189,2,1,2,1,5,5,5,5,5,492.19,413.45,524.3,5,4,5,5,5,476.646666666667
10190,2,2,2,2,5,3,3,2,5,342.48,369.79,421.71,4,4,4,4,3.6,377.993333333333
10191,2,3,5,2,3,3,3,4,3,368.68,345.97,392.98,3,1,4,3.33333333333333,3.2,369.21
10192,2,1,2,1,5,4,5,5,5,383.65,413.45,565.33,5,4,5,5,4.8,454.143333333333
10193,2,3,3,3,3,3,3,3,3,342.48,385.67,351.95,3,3,3,3,3,360.033333333333
10194,2,2,3,2,5,4,5,3,5,492.19,401.55,565.33,4,3,4,4,4.4,486.356666666667
10195,2,4,2,2,4,4,3,2,2,346.22,361.85,466.85,2,4,4,2.66666666666667,3,391.64
10196,2,1,1,1,4,4,4,4,2,372.42,389.64,466.85,5,5,5,5,3.6,409.636666666667
10197,1,3,3,3,4,3,2,2,2,342.48,330.1,565.33,3,3,3,3,2.6,412.636666666667
10198,1,1,1,1,3,3,1,1,1,368.68,286.43,319.12,5,5,5,5,1.8,324.743333333333
10199,1,1,1,1,3,3,3,1,1,342.48,334.07,405.29,5,5,5,5,2.2,360.613333333333
10200,1,3,3,3,4,4,4,4,4,421.08,326.13,524.3,3,3,3,3,4,423.836666666667
10201,1,3,3,3,3,2,2,3,2,334.99,342,594.05,3,3,3,3,2.4,423.68
10202,1,2,3,3,3,3,3,3,2,290.08,294.37,434.02,4,3,3,3.66666666666667,2.8,339.49
10203,1,3,4,4,4,5,5,4,3,372.42,373.76,495.57,3,2,2,2.66666666666667,4.2,413.916666666667
10204,1,1,1,1,3,3,3,3,2,368.68,365.82,450.43,5,5,5,5,2.8,394.976666666667
10205,1,2,5,5,3,2,2,2,2,334.99,345.97,421.71,4,1,1,3,2.2,367.556666666667
10206,1,1,1,1,4,4,3,2,3,372.42,338.04,495.57,5,5,5,5,3.2,402.01
10207,2,3,1,2,4,4,5,5,4,421.08,385.67,495.57,3,5,4,3.33333333333333,4.4,434.106666666667
10208,2,1,5,5,3,2,2,2,2,376.16,290.4,434.02,5,1,1,3.66666666666667,2.2,366.86
10209,2,2,3,2,4,4,4,3,3,421.08,449.18,466.85,4,3,4,4,3.6,445.703333333333
10210,2,3,3,1,4,4,3,2,5,492.19,401.55,434.02,3,3,5,3.66666666666667,3.6,442.586666666667
10211,2,2,1,1,4,5,4,5,4,421.08,449.18,565.33,4,5,5,4.33333333333333,4.4,478.53
10212,2,1,1,1,3,3,3,3,2,346.22,385.67,405.29,5,5,5,5,2.8,379.06
10213,2,3,3,3,3,4,5,3,3,492.19,433.3,594.05,3,3,3,3,3.6,506.513333333333
10214,2,1,2,1,4,3,4,3,3,376.16,433.3,594.05,5,4,5,5,3.4,467.836666666667
10215,2,1,3,2,4,3,3,2,2,342.48,409.48,339.64,5,3,4,4.66666666666667,2.8,363.866666666667
10216,2,1,1,1,4,3,3,2,2,342.48,401.55,372.47,5,5,5,5,2.8,372.166666666667
10217,2,3,3,3,3,3,3,2,3,357.45,413.45,450.43,3,3,3,3,2.8,407.11
10218,2,2,3,2,4,3,3,3,3,372.42,361.85,594.05,4,3,4,4,3.2,442.773333333333
10219,1,2,1,1,5,5,4,3,4,368.68,334.07,565.33,4,5,5,4.33333333333333,4.2,422.693333333333
10220,1,4,1,1,4,4,5,3,2,368.68,369.79,565.33,2,5,5,3,3.6,434.6
10221,1,1,2,1,4,4,3,3,3,421.08,369.79,450.43,5,4,5,5,3.4,413.766666666667
10222,1,1,3,2,4,4,3,3,3,372.42,361.85,466.85,5,3,4,4.66666666666667,3.4,400.373333333333
10223,1,1,1,1,5,5,5,2,5,492.19,405.52,651.5,5,5,5,5,4.4,516.403333333333
10224,1,3,3,2,2,4,4,4,2,376.16,342,434.02,3,3,4,3.33333333333333,3.2,384.06
10225,2,1,2,2,4,4,4,3,4,492.19,433.3,450.43,5,4,4,4.66666666666667,3.8,458.64
10226,2,1,2,1,4,4,5,3,4,421.08,334.07,434.02,5,4,5,5,4,396.39
10227,2,1,1,1,4,5,4,3,5,421.08,345.97,450.43,5,5,5,5,4.2,405.826666666667
10228,2,1,4,4,4,4,5,4,2,421.08,377.73,524.3,5,2,2,4,3.8,441.036666666667
10229,2,1,1,1,5,5,4,4,4,383.65,433.3,594.05,5,5,5,5,4.4,470.333333333333
10230,2,1,1,1,5,5,5,5,5,492.19,361.85,495.57,5,5,5,5,5,449.87
10231,2,2,2,2,5,5,5,4,5,492.19,353.91,495.57,4,4,4,4,4.8,447.223333333333
10232,2,3,4,2,4,4,3,3,3,346.22,361.85,434.02,3,2,4,3.33333333333333,3.4,380.696666666667
10233,2,1,3,2,3,4,5,1,2,492.19,389.64,495.57,5,3,4,4.66666666666667,3,459.133333333333
10234,2,1,1,1,5,5,5,5,5,492.19,389.64,565.33,5,5,5,5,5,482.386666666667
10235,1,1,1,1,5,5,4,3,3,368.68,342,392.98,5,5,5,5,4,367.886666666667
10236,1,1,1,2,4,4,3,3,2,492.19,361.85,450.43,5,5,4,4.66666666666667,3.2,434.823333333333
10237,1,4,3,1,4,5,5,4,5,492.19,405.52,651.5,2,3,5,3,4.6,516.403333333333
10238,1,4,4,5,4,4,4,4,4,357.45,361.85,434.02,2,2,1,1.66666666666667,4,384.44
10239,1,2,1,1,5,5,5,4,5,421.08,433.3,434.02,4,5,5,4.33333333333333,4.8,429.466666666667
10240,1,2,1,2,5,5,5,3,5,421.08,441.24,450.43,4,5,4,4,4.6,437.583333333333
10241,1,2,1,1,4,5,4,1,3,383.65,361.85,466.85,4,5,5,4.33333333333333,3.4,404.116666666667
10242,2,1,2,1,4,4,5,4,4,421.08,405.52,524.3,5,4,5,5,4.2,450.3
10243,2,5,2,2,5,5,5,4,1,376.16,433.3,524.3,1,4,4,2,4,444.586666666667
10244,2,1,2,2,4,4,3,2,3,421.08,405.52,495.57,5,4,4,4.66666666666667,3.2,440.723333333333
10245,2,1,1,1,5,5,5,2,3,492.19,469.03,594.05,5,5,5,5,4,518.423333333333
10246,2,2,3,3,4,3,3,3,3,421.08,389.64,495.57,4,3,3,3.66666666666667,3.2,435.43
10247,2,2,3,3,4,1,5,1,1,376.16,389.64,421.71,4,3,3,3.66666666666667,2.4,395.836666666667
10248,2,1,3,2,5,5,4,3,3,492.19,409.48,466.85,5,3,4,4.66666666666667,4,456.173333333333
10249,2,4,3,2,5,5,5,5,5,421.08,338.04,466.85,2,3,4,2.66666666666667,5,408.656666666667
10250,1,1,1,1,5,5,5,3,2,421.08,373.76,651.5,5,5,5,5,4,482.113333333333
10251,1,3,3,3,3,3,3,3,3,492.19,453.15,495.57,3,3,3,3,3,480.303333333333
10252,1,1,2,1,3,3,3,3,3,383.65,290.4,450.43,5,4,5,5,3,374.826666666667
10253,1,1,4,4,4,4,3,5,5,357.45,353.91,524.3,5,2,2,4,4.2,411.886666666667
